id;name;surname;patronymic;gender;position;academicDegree;academicTitle;employmentDate;workload;email;phone;department;dateOfBirth;age
t0033;Mykhailo;Vynnytskyi;Ivanovych;Male;Associate Professor;Doctor of Philosophy;Associate Professor;2003-09-01;20.0;m.vynnytskyi@digiuni.ukma.edu;+380631234584;d022;1971-01-19;55
t0034;Maksym;Yakovliev;Volodymyrovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2005-09-01;40.0;m.yakovliev@digiuni.ukma.edu;+380501234585;d023;1975-09-09;51
t0035;Serhiy;Kvit;Myronovych;Male;Professor;Doctor of Sciences;Professor;2001-09-01;20.0;s.kvit@digiuni.ukma.edu;+380671234585;d026;1965-11-26;60
t0036;Viacheslav;Briukhovetskyi;Stepanovych;Male;Professor;Doctor of Sciences;Professor;1992-09-01;20.0;v.briukhovetskyi@digiuni.ukma.edu;+380631234585;d012;1947-07-14;78
t0037;Larysa;Chovnyuk;Mykhailivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2005-09-01;40.0;l.chovnyuk@digiuni.ukma.edu;+380501234586;d013;1975-05-19;50
t0038;Olena;Haleta;Mykolaivna;Female;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;o.haleta@digiuni.ukma.edu;+380671234586;d012;1980-03-14;46
t0039;Tamara;Martsenyuk;Olehivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2012-09-01;40.0;t.martsenyuk@digiuni.ukma.edu;+380631234586;d022;1981-07-02;44
t0040;Anna;Prokhorova;Andriivna;Female;Head of Department;Candidate of Sciences;Senior Lecturer;2016-09-01;40.0;a.prokhorova@digiuni.ukma.edu;+380501234587;d024;1988-09-14;38
t0041;Ihor;Burakovskyi;Valentynovych;Male;Professor;Doctor of Sciences;Professor;1997-09-01;20.0;i.burakovskyi@digiuni.ukma.edu;+380671234587;d005;1958-05-30;67
t0042;Olena;Bazhenova;Volodymyrivna;Female;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;o.bazhenova@digiuni.ukma.edu;+380631234587;d005;1981-02-14;45
t0043;Volodymyr;Zaslavskyi;Anatoliiovych;Male;Professor;Doctor of Sciences;Professor;2012-09-01;40.0;v.zaslavskyi@digiuni.ukma.edu;+380501234588;d001;1972-11-20;53
t0044;Tetiana;Kovaliuk;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;t.kovaliuk@digiuni.ukma.edu;+380671234588;d001;1983-03-08;43
t0045;Oleksii;Ihnatenko;Petrovych;Male;Professor;Doctor of Sciences;Senior Researcher;2015-09-01;40.0;o.ihnatenko@digiuni.ukma.edu;+380631234588;d001;1981-08-25;44
t0046;Natalia;Hulaieva;Mykhailivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2008-09-01;40.0;n.hulaieva@digiuni.ukma.edu;+380501234589;d001;1978-02-10;48
t0047;Alla;Nahirna;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2001-09-01;40.0;a.nahirna@digiuni.ukma.edu;+380671234589;d001;1971-07-19;54
t0048;Oleksandr;Bandura;Viktorovych;Male;Associate Professor;Doctor of Sciences;Associate Professor;2008-09-01;40.0;o.bandura@digiuni.ukma.edu;+380631234589;d005;1977-08-21;48
t0049;Volodymyr;Protsenko;Semenovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;1995-09-01;40.0;v.protsenko@digiuni.ukma.edu;+380501234590;d001;1965-12-12;60
t0050;Viktoriia;Bondar;Semenivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;v.bondar@digiuni.ukma.edu;+380671234590;d025;1982-09-09;43
t0051;Ruslan;Melnyk;Mykhailovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;r.melnyk@digiuni.ukma.edu;+380671234591;d021;1980-04-12;45
t0052;Yurii;Opanasiuk;Arsenovych;Male;Senior Lecturer;Master;;2018-09-01;40.0;y.opanasiuk@digiuni.ukma.edu;+380501234591;d021;1990-05-18;35
t0053;Olha;Pyliavska;Stepanivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2008-09-01;40.0;o.pyliavska@digiuni.ukma.edu;+380631234592;d021;1977-08-25;48
t0054;Volodymyr;Kuznetsov;Ivanovych;Male;Professor;Doctor of Sciences;Professor;2005-09-01;20.0;v.kuznetsov@digiuni.ukma.edu;+380671234592;d021;1965-11-12;60
t0055;Bohdan;Lev;Ivanovych;Male;Professor;Doctor of Sciences;Professor;2001-09-01;20.0;b.lev@digiuni.ukma.edu;+380501234593;d021;1955-03-30;70
t0056;Oleksandr;Marchenko;Anatoliiovych;Male;Professor;Doctor of Sciences;Professor;2007-09-01;20.0;o.marchenko@digiuni.ukma.edu;+380631234593;d021;1968-07-15;57
t0057;Ihor;Pinkevych;Pavlovych;Male;Professor;Doctor of Sciences;Professor;1999-09-01;20.0;i.pinkevych@digiuni.ukma.edu;+380671234594;d021;1958-09-22;67
t0058;Olha;Bodnar;Vasylivna;Female;Professor;Doctor of Sciences;Professor;2012-09-01;40.0;o.bodnar@digiuni.ukma.edu;+380501234594;d007;1975-01-10;51
t0059;Yurii;Diachenko;Yuriiovych;Male;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;y.diachenko@digiuni.ukma.edu;+380631234595;d007;1972-12-05;53
t0060;Iryna;Ihnatieva;Anatoliivna;Female;Professor;Doctor of Sciences;Professor;2014-09-01;40.0;i.ihnatieva@digiuni.ukma.edu;+380671234595;d007;1980-06-18;45
t0061;Kateryna;Pryb;Anatoliivna;Female;Professor;Doctor of Sciences;Professor;2015-09-01;40.0;k.pryb@digiuni.ukma.edu;+380501234596;d007;1982-10-25;43
t0062;Olena;Bazilinska;Yakivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2009-09-01;40.0;o.bazilinska@digiuni.ukma.edu;+380631234596;d006;1978-02-14;48
t0063;Tetiana;Bui;Hryhorivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2011-09-01;40.0;t.bui@digiuni.ukma.edu;+380671234597;d006;1981-08-30;44
t0064;Pervin;Dadashova;Akifivna;Female;Senior Lecturer;Candidate of Sciences;;2019-09-01;40.0;p.dadashova@digiuni.ukma.edu;+380501234597;d006;1992-04-12;33
t0065;Tetiana;Ivanova;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2013-09-01;40.0;t.ivanova@digiuni.ukma.edu;+380631234598;d006;1983-11-20;42
t0066;Yaroslav;Abramov;Volodymyrovych;Male;Senior Lecturer;Master;;2020-09-01;40.0;y.abramov@digiuni.ukma.edu;+380671234598;d014;1994-01-15;32
t0067;Ruslana;Abramovych;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;r.abramovych@digiuni.ukma.edu;+380501234599;d014;1979-05-18;46
t0068;Tetiana;Andriichuk;Serhiivna;Female;Senior Lecturer;Candidate of Sciences;;2016-09-01;40.0;t.andriichuk@digiuni.ukma.edu;+380631234599;d015;1988-07-22;37
t0069;Serhii;Bahirov;Ramizovych;Male;Senior Lecturer;Master;;2017-09-01;40.0;s.bahirov@digiuni.ukma.edu;+380671234600;d016;1990-09-10;35
t0070;Olha;Berdanova;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2012-09-01;40.0;o.berdanova@digiuni.ukma.edu;+380501234600;d016;1982-12-05;43
t0071;Nataliia;Burlach;Anatoliivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;n.burlach@digiuni.ukma.edu;+380631234601;d017;1984-03-28;41
t0072;Andrii;Boiko;Mykhailovych;Male;Professor;Doctor of Sciences;Professor;2006-09-01;40.0;a.boiko@digiuni.ukma.edu;+380671234601;d014;1970-11-15;55
t0073;Tetiana;Havrylenko;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2015-09-01;40.0;t.havrylenko@digiuni.ukma.edu;+380501234602;d015;1986-08-14;39
t0074;Volodymyr;Halahah;Ivanovych;Male;Professor;Doctor of Sciences;Professor;2001-09-01;40.0;v.halahah@digiuni.ukma.edu;+380631234602;d016;1962-02-20;64
t0075;Oksana;Holovko-Havrysheva;Ihorivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2011-09-01;40.0;o.holovko@digiuni.ukma.edu;+380671234603;d015;1981-05-10;44
t0076;Andrii;Huk;Ruslanovych;Male;Senior Lecturer;Master;;2018-09-01;40.0;a.huk@digiuni.ukma.edu;+380501234603;d017;1992-10-30;33
t0077;Vladyslav;Haponenko;Oleksandrovych;Male;Senior Lecturer;Candidate of Sciences;;2021-09-01;40.0;v.haponenko@digiuni.ukma.edu;+380631234604;d004;1995-04-12;30
t0078;Halyna;Kriukova;Vitaliivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2013-09-01;40.0;h.kriukova@digiuni.ukma.edu;+380671234604;d004;1983-09-25;42
t0079;Andrii;Ivaniuk;Olehovych;Male;Senior Lecturer;Doctor of Philosophy;;2020-09-01;40.0;a.ivaniuk@digiuni.ukma.edu;+380501234605;d004;1993-02-18;33
t0080;Yurii;Mytnyk;Vasylovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;y.mytnyk@digiuni.ukma.edu;+380631234605;d004;1979-11-05;46
t0081;Nataliia;Shchestiuk;Yuriivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;n.shchestiuk@digiuni.ukma.edu;+380671234606;d004;1985-07-14;40
t0082;Mykhailo;Bratyk;Vasylovych;Male;Senior Lecturer;Candidate of Sciences;;2017-09-01;40.0;m.bratyk@digiuni.ukma.edu;+380501234606;d004;1989-12-22;36
t0083;Nadiia;Shvai;Oleksandrivna;Female;Senior Lecturer;Candidate of Sciences;;2019-09-01;40.0;n.shvai@digiuni.ukma.edu;+380631234607;d004;1991-03-08;35
t0084;Svitlana;Drin;Serhiivna;Female;Senior Lecturer;Candidate of Sciences;;2018-09-01;40.0;s.drin@digiuni.ukma.edu;+380671234607;d004;1990-08-19;35
t0085;Pavlo;Prokofiev;Hennadiiovych;Male;Senior Lecturer;Master;;2022-09-01;40.0;p.prokofiev@digiuni.ukma.edu;+380501234608;d004;1997-01-25;29
t0086;Viktor;Horborukov;Mykhailovych;Male;Senior Lecturer;Master;;2015-09-01;40.0;v.horborukov@digiuni.ukma.edu;+380631234608;d021;1987-05-12;38
t0087;Serhii;Zbanatskyi;Vasylovych;Male;Senior Lecturer;Master;;2016-09-01;40.0;s.zbanatskyi@digiuni.ukma.edu;+380671234609;d021;1988-11-20;37
t0088;Petro;Kozubei;Sydorovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2005-09-01;40.0;p.kozubei@digiuni.ukma.edu;+380501234609;d021;1975-04-30;50
t0089;Valentyna;Khrapkina;Valentynivna;Female;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;v.khrapkina@digiuni.ukma.edu;+380631234610;d007;1978-02-14;48
t0090;Alina;Serbenivska;Yuriivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;a.serbenivska@digiuni.ukma.edu;+380671234610;d007;1984-06-25;41
t0091;Iryna;Hrydzhuk;Anatoliivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2015-09-01;40.0;i.hrydzhuk@digiuni.ukma.edu;+380501234611;d007;1985-10-18;40
t0092;Liliia;Pan;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2016-09-01;40.0;l.pan@digiuni.ukma.edu;+380631234611;d007;1987-03-12;39
t0093;Nataliia;Romanchenko;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2013-09-01;40.0;n.romanchenko@digiuni.ukma.edu;+380671234612;d007;1983-09-05;42
t0094;Oksana;Nesterenko;Viacheslavivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2017-09-01;40.0;o.nesterenko@digiuni.ukma.edu;+380501234612;d014;1986-12-22;39
t0095;Bohdan;Bernatskyi;Vitaliiovych;Male;Senior Lecturer;Doctor of Philosophy;;2020-09-01;40.0;b.bernatskyi@digiuni.ukma.edu;+380631234613;d015;1992-05-14;33
t0096;Kateryna;Busol;Ihorivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2018-09-01;40.0;k.busol@digiuni.ukma.edu;+380671234613;d015;1989-08-30;36
t0097;Serhii;Pietukhov;Ihorovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2019-09-01;40.0;s.pietukhov@digiuni.ukma.edu;+380501234614;d015;1990-11-11;35
t0098;Roman;Petrov;Arestovych;Male;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;r.petrov@digiuni.ukma.edu;+380631234614;d015;1977-04-25;48
t0099;Nazar;Kulchytskyi;Stepanovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2016-09-01;40.0;n.kulchytskyi@digiuni.ukma.edu;+380671234615;d015;1985-02-08;41
t0100;Zvenyslava;Opeida;Yosypivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;z.opeida@digiuni.ukma.edu;+380501234615;d015;1983-06-19;42
t0101;Maksym;Yaremenko;Vasyliovych;Male;Professor;Doctor of Sciences;Professor;2004-09-01;40.0;m.yaremenko@digiuni.ukma.edu;+380631234616;d008;1975-08-20;50
t0102;Vadym;Aristov;Yuriiovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;v.aristov@digiuni.ukma.edu;+380501234616;d008;1982-11-15;43
t0103;Natalia;Yakovenko;Mykolaivna;Female;Professor;Doctor of Sciences;Professor;1992-09-01;20.0;n.yakovenko@digiuni.ukma.edu;+380671234617;d008;1942-10-16;83
t0104;Mykhailo;Kirsenko;Volodymyrovych;Male;Professor;Doctor of Sciences;Professor;1993-09-01;20.0;m.kirsenko@digiuni.ukma.edu;+380631234617;d008;1945-05-12;80
t0105;Yurii;Mytsyk;Andriiovych;Male;Professor;Doctor of Sciences;Professor;1996-09-01;20.0;y.mytsyk@digiuni.ukma.edu;+380501234618;d008;1949-08-22;76
t0106;Serhii;Holovashchenko;Ivanovych;Male;Professor;Doctor of Sciences;Professor;1998-09-01;40.0;s.holovashchenko@digiuni.ukma.edu;+380671234618;d010;1960-03-30;66
t0107;Maryna;Tkachuk;Yuriivna;Female;Professor;Doctor of Sciences;Professor;1995-09-01;40.0;m.tkachuk@digiuni.ukma.edu;+380631234619;d010;1964-12-14;61
t0108;Tetiana;Yaroshenko;Oleksandrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;1995-09-01;40.0;t.yaroshenko@digiuni.ukma.edu;+380501234619;d026;1963-04-18;63
t0109;Svitlana;Chukanova;Oleksandrivna;Female;Senior Lecturer;Candidate of Sciences;;2014-09-01;40.0;s.chukanova@digiuni.ukma.edu;+380671234620;d026;1985-09-25;40
t0110;Liudmyla;Kryvoruchka;Dmytrivna;Female;Senior Lecturer;Doctor of Philosophy;;2012-09-01;40.0;l.kryvoruchka@digiuni.ukma.edu;+380631234620;d010;1980-07-07;45
t0111;Mykola;Taranukha;Yuriiovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2006-09-01;40.0;m.taranukha@digiuni.ukma.edu;+380501234621;d001;1977-02-14;49
t0112;Andrii;Volokhov;Mykolaiovych;Male;Senior Lecturer;Master;;2015-09-01;40.0;a.volokhov@digiuni.ukma.edu;+380671234621;d002;1990-11-03;35
t0113;Vitalii;Franchuk;Olehovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;v.franchuk@digiuni.ukma.edu;+380631234622;d003;1982-08-19;43
t0114;Viktor;Korniienko;Anatoliiovych;Male;Professor;Doctor of Sciences;Professor;2001-09-01;40.0;v.korniienko@digiuni.ukma.edu;+380501234622;d004;1968-05-25;57
t0115;Yurii;Kryvonos;Hryhorovych;Male;Professor;Doctor of Sciences;Professor;1998-09-01;20.0;y.kryvonos@digiuni.ukma.edu;+380671234623;d001;1955-10-12;70
t0116;Iryna;Zavadovska;Vasylivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2012-09-01;40.0;i.zavadovska@digiuni.ukma.edu;+380631234623;d002;1984-01-30;42
t0117;Mykola;Khavroniuk;Ivanovych;Male;Professor;Doctor of Sciences;Professor;2014-09-01;40.0;m.khavroniuk@digiuni.ukma.edu;+380501234624;d014;1961-05-28;64
t0118;Volodymyr;Sushchenko;Mykolaiovych;Male;Professor;Candidate of Sciences;Professor;1997-09-01;20.0;v.sushchenko@digiuni.ukma.edu;+380671234624;d014;1945-11-15;80
t0119;Halyna;Klymova;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2008-09-01;40.0;h.klymova@digiuni.ukma.edu;+380631234625;d015;1979-03-22;47
t0120;Oleksii;Kresin;Veniaminovych;Male;Associate Professor;Doctor of Sciences;Associate Professor;2011-09-01;40.0;o.kresin@digiuni.ukma.edu;+380501234625;d016;1976-12-10;49
t0121;Oleksii;Slukhai;Volodymyrovych;Male;Professor;Doctor of Sciences;Professor;2005-09-01;40.0;o.slukhai@digiuni.ukma.edu;+380671234626;d005;1965-06-18;60
t0122;Olena;Krasota;Vasylivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;o.krasota@digiuni.ukma.edu;+380631234626;d006;1981-09-12;44
t0123;Iryna;Harmash;Petrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2015-09-01;40.0;i.harmash@digiuni.ukma.edu;+380501234627;d007;1986-04-25;39
t0124;Halyna;Kharlamova;Olehivna;Female;Associate Professor;Doctor of Sciences;Associate Professor;2018-09-01;40.0;h.kharlamova@digiuni.ukma.edu;+380671234627;d005;1989-11-05;36
t0125;Kateryna;Iksarova;Nazarivna;Female;Senior Lecturer;Candidate of Sciences;;2016-09-01;40.0;k.iksarova@digiuni.ukma.edu;+380631234628;d006;1990-02-14;36
t0126;Iryna;Zhurzhenko;Vladyslavivna;Female;Professor;Doctor of Sciences;Professor;2009-09-01;40.0;i.zhurzhenko@digiuni.ukma.edu;+380501234628;d022;1974-07-30;51
t0127;Oksana;Kyselova;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2013-09-01;40.0;o.kyselova@digiuni.ukma.edu;+380671234629;d023;1983-12-11;42
t0128;Tetiana;Kostiuchenko;Anatoliivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2011-09-01;40.0;t.kostiuchenko@digiuni.ukma.edu;+380631234629;d022;1980-05-19;45
t0129;Mariia;Naumova;Oleksandrivna;Female;Senior Lecturer;Candidate of Sciences;;2019-09-01;40.0;m.naumova@digiuni.ukma.edu;+380501234630;d024;1991-08-08;34
t0130;Anna;Amelina;Ihorivna;Female;Senior Lecturer;Doctor of Philosophy;;2020-09-01;40.0;a.amelina@digiuni.ukma.edu;+380671234630;d022;1994-03-22;32
t0131;Nadiia;Husak;Volodymyrivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2014-09-01;40.0;n.husak@digiuni.ukma.edu;+380631234631;d025;1985-10-10;40
t0132;Oleksii;Holub;Andriiovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2007-09-01;40.0;o.holub@digiuni.ukma.edu;+380501234631;d020;1978-01-25;48
t0133;Liudmyla;Vynohradova;Oleksandrivna;Female;Professor;Doctor of Sciences;Professor;2002-09-01;40.0;l.vynohradova@digiuni.ukma.edu;+380671234632;d018;1969-09-15;56
t0134;Viktor;Kurylo;Mykhailovych;Male;Professor;Doctor of Sciences;Professor;2005-09-01;40.0;v.kurylo@digiuni.ukma.edu;+380631234632;d019;1972-11-20;53
t0135;Valerii;Zaiets;Anatoliiovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2010-09-01;40.0;v.zaiets@digiuni.ukma.edu;+380501234633;d017;1980-04-18;46
t0136;Ihor;Zubar;Vasyliovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2012-09-01;40.0;i.zubar@digiuni.ukma.edu;+380671234633;d016;1982-08-30;43
t0137;Denys;Kravets;Stepanovych;Male;Senior Lecturer;Candidate of Sciences;;2016-09-01;40.0;d.kravets@digiuni.ukma.edu;+380631234634;d014;1988-12-05;37
t0138;Bohdan;Malyshev;Olehovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2015-09-01;40.0;b.malyshev@digiuni.ukma.edu;+380501234634;d014;1985-02-28;41
t0139;Taras;Mykhalniuk;Ivanovych;Male;Senior Lecturer;Doctor of Philosophy;;2019-09-01;40.0;t.mykhalniuk@digiuni.ukma.edu;+380671234635;d015;1992-06-14;33
t0140;Viktoriia;Pelenska;Andriivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2011-09-01;40.0;v.pelenska@digiuni.ukma.edu;+380631234635;d011;1981-03-08;45
t0141;Oksana;Semikopna;Vasylivna;Female;Senior Lecturer;Master;;2017-09-01;40.0;o.semikopna@digiuni.ukma.edu;+380501234636;d013;1990-09-12;35
t0142;Volodymyr;Morenets;Pylypovych;Male;Professor;Doctor of Sciences;Professor;1995-09-01;20.0;v.morenets@digiuni.ukma.edu;+380671234636;d012;1953-06-09;72
t0143;Olena;Yershova;Mykolaivna;Female;Associate Professor;Candidate of Sciences;Associate Professor;2008-09-01;40.0;o.yershova@digiuni.ukma.edu;+380631234637;d012;1978-11-22;47
t0144;Yaroslav;Tkachuk;Viktorovych;Male;Senior Lecturer;Master;;2020-09-01;40.0;y.tkachuk@digiuni.ukma.edu;+380501234637;d011;1995-01-15;31
