id;name;surname;patronymic;gender;course;enrollmentDate;group;faculty;speciality;studyForm;status;email;phone;dateOfBirth;age
st20240003;Hlib;Dmytrenko;Serhiiovych;Male;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;h.dmytrenko@ukma.edu.ua;+380501234526;2006-07-20;19
st20240004;Solomiia;Havryliuk;Arturivna;Female;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;s.havryliuk@ukma.edu.ua;+380501234532;2006-06-08;19
st20240005;Roman;Havryliuk;Olehovych;Male;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;r.havryliuk@ukma.edu.ua;+380501234534;2006-07-10;19
st20240006;Svitlana;Hrytsenko;Artemivna;Female;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;s.hrytsenko@ukma.edu.ua;+380501234505;2005-01-27;21
st20240007;Oleksandr;Ivanenko;Kyrylovych;Male;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;o.ivanenko@ukma.edu.ua;+380501234501;2005-11-04;20
st20230001;Nazar;Babenko;Oleksandrovych;Male;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;n.babenko@ukma.edu.ua;+380501235490;2005-02-16;21
st20230002;Alisa;Babenko;Yevhenivna;Female;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;a.babenko4@ukma.edu.ua;+380501235495;2004-09-10;21
st20230003;Serhii;Bondar;Yevhenovych;Male;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;s.bondar1@ukma.edu.ua;+380501235458;2004-12-03;21
st20230004;Mykhailo;Bondar;Serhiiovych;Male;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;m.bondar3@ukma.edu.ua;+380501235464;2005-11-05;20
st20230005;Yuliia;Dmytrenko;Illivna;Female;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;y.dmytrenko1@ukma.edu.ua;+380501235473;2005-01-22;21
st20230006;Tetiana;Dmytrenko;Rostyslavivna;Female;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;t.dmytrenko1@ukma.edu.ua;+380501235487;2005-04-28;20
st20230007;Veronika;Havryliuk;Maksymivna;Female;3;2023-09-01;1;f001;sp001;CONTRACT;ACTIVE;v.havryliuk@ukma.edu.ua;+380501235456;2005-10-06;20
st20230008;Mykola;Havryliuk;Ivanovych;Male;3;2023-09-01;1;f001;sp001;BUDGET;ACTIVE;m.havryliuk1@ukma.edu.ua;+380501235457;2004-02-07;22
st20220001;Vira;Boiko;Andriivna;Female;4;2022-09-01;1;f001;sp001;CONTRACT;ACTIVE;v.boiko9@ukma.edu.ua;+380501236376;2004-11-12;21
st20220002;Mykola;Bondar;Hlibovych;Male;4;2022-09-01;1;f001;sp001;BUDGET;ACTIVE;m.bondar6@ukma.edu.ua;+380501236382;2004-08-05;21
st20220003;Serhii;Bondar;Illich;Male;4;2022-09-01;1;f001;sp001;CONTRACT;ACTIVE;s.bondar6@ukma.edu.ua;+380501236385;2004-12-20;21
st20220004;Oleh;Bondar;Ivanovych;Male;4;2022-09-01;1;f001;sp001;BUDGET;ACTIVE;o.bondar4@ukma.edu.ua;+380501236404;2003-10-12;22
st20220005;Pavlo;Bondarenko;Vladyslavovych;Male;4;2022-09-01;1;f001;sp001;CONTRACT;ACTIVE;p.bondarenko2@ukma.edu.ua;+380501236394;2004-07-19;21
st20220006;Yevhen;Dmytrenko;Yuriiovych;Male;4;2022-09-01;1;f001;sp001;BUDGET;ACTIVE;y.dmytrenko5@ukma.edu.ua;+380501236377;2004-02-14;22
st20220007;Alisa;Dmytrenko;Yevhenivna;Female;4;2022-09-01;1;f001;sp001;CONTRACT;ACTIVE;a.dmytrenko8@ukma.edu.ua;+380501236389;2003-10-08;22
st20250012;Ihor;Hordiienko;Volodymyrovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;i.hordiienko@ukma.edu.ua;+380503809955;2007-06-04;18
st20250013;Arsenii;Hrokh;Mykolaiovych;Male;1;2025-09-01;2;f001;sp001;CONTRACT;ACTIVE;a.hrokh@ukma.edu.ua;+380503809956;2006-01-20;20
st20250014;Maksym;Demkiv;Romanovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;m.demkiv@ukma.edu.ua;+380503809957;2007-09-12;18
st20250015;Vadim;Dudar;Andriiovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;v.dudar@ukma.edu.ua;+380503809958;2006-08-08;19
st20250016;Diana;Yezovit;Maksymivna;Female;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;d.yezovit@ukma.edu.ua;+380503809959;2007-04-01;19
st20250017;Oleksandr;Zaionchkivskyi;Volodymyrovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;o.zaionchkivskyi@ukma.edu.ua;+380503809960;2006-12-25;19
st20250018;Mariia;Zanko;Andriivna;Female;1;2025-09-01;2;f001;sp001;CONTRACT;ACTIVE;m.zanko@ukma.edu.ua;+380503809961;2007-11-18;18
st20250019;Andrii;Zaiats;Serhiiovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;a.zaiats@ukma.edu.ua;+380503809962;2006-05-09;19
st20250020;Illia;Kabysh;Anatoliiovych;Male;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;i.kabysh@ukma.edu.ua;+380503809963;2007-03-27;19
st20250021;Daryna;Kazmirchuk;Vasylivna;Female;1;2025-09-01;2;f001;sp001;BUDGET;ACTIVE;d.kazmirchuk@ukma.edu.ua;+380503809964;2006-02-14;20
st20250022;Sofiia;Karachentseva;Oleksiivna;Female;1;2025-09-01;2;f001;sp001;CONTRACT;ACTIVE;s.karachentseva@ukma.edu.ua;+380503809965;2007-07-21;18
st20240008;Illia;Ivanenko;Mykolaiovych;Male;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;i.ivanenko@ukma.edu.ua;+380501234504;2006-08-07;19
st20240009;Pavlo;Karpenko;Bohdanovych;Male;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;p.karpenko@ukma.edu.ua;+380501234513;2005-01-19;21
st20240010;Valeriia;Karpenko;Illivna;Female;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;v.karpenko@ukma.edu.ua;+380501234524;2005-04-27;20
st20240011;Kseniia;Khomenko;Tymurivna;Female;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;k.khomenko@ukma.edu.ua;+380501234530;2005-01-22;21
st20240012;Zlata;Koval;Artemivna;Female;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;z.koval@ukma.edu.ua;+380501234535;2005-12-03;20
st20240013;Illia;Kovalenko;Antonovych;Male;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;i.kovalenko@ukma.edu.ua;+380501234509;2005-10-11;20
st20240014;Vasyl;Kovalenko;Antonovych;Male;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;v.kovalenko@ukma.edu.ua;+380501234536;2006-03-21;20
st20230009;Sofiia;Havryliuk;Oleksandrivna;Female;3;2023-09-01;2;f001;sp001;CONTRACT;ACTIVE;s.havryliuk1@ukma.edu.ua;+380501235469;2005-07-22;20
st20230010;Ivan;Honcharenko;Stepanovych;Male;3;2023-09-01;2;f001;sp001;BUDGET;ACTIVE;i.honcharenko2@ukma.edu.ua;+380501235482;2005-10-21;20
st20230011;Anhelina;Hrytsenko;Tarasivna;Female;3;2023-09-01;2;f001;sp001;CONTRACT;ACTIVE;a.hrytsenko3@ukma.edu.ua;+380501235475;2004-06-18;21
st20230012;Mykhailo;Hrytsenko;Olehovych;Male;3;2023-09-01;2;f001;sp001;CONTRACT;ACTIVE;m.hrytsenko1@ukma.edu.ua;+380501235484;2005-03-01;21
st20230013;Nazar;Ivanenko;Bohdanovych;Male;3;2023-09-01;2;f001;sp001;CONTRACT;ACTIVE;n.ivanenko1@ukma.edu.ua;+380501235485;2004-03-06;22
st20230014;Kyrylo;Khomenko;Dmytrovych;Male;3;2023-09-01;2;f001;sp001;BUDGET;ACTIVE;k.khomenko1@ukma.edu.ua;+380501235455;2004-05-09;21
st20230015;Roman;Khomenko;Kyrylovych;Male;3;2023-09-01;2;f001;sp001;BUDGET;ACTIVE;r.khomenko1@ukma.edu.ua;+380501235478;2005-04-24;20
st20230016;Yuliia;Kravchenko;Illivna;Female;3;2023-09-01;2;f001;sp001;CONTRACT;ACTIVE;y.kravchenko4@ukma.edu.ua;+380501235477;2004-08-16;21
st20220008;Viktoriia;Dmytrenko;Serhiivna;Female;4;2022-09-01;2;f001;sp001;CONTRACT;ACTIVE;v.dmytrenko7@ukma.edu.ua;+380501236393;2004-02-26;22
st20220009;Roman;Dmytrenko;Volodymyrovych;Male;4;2022-09-01;2;f001;sp001;CONTRACT;ACTIVE;r.dmytrenko@ukma.edu.ua;+380501236397;2003-11-10;22
st20220010;Olena;Dmytrenko;Ivanivna;Female;4;2022-09-01;2;f001;sp001;BUDGET;ACTIVE;o.dmytrenko2@ukma.edu.ua;+380501236408;2004-03-01;22
st20220011;Yana;Havryliuk;Kyrylivna;Female;4;2022-09-01;2;f001;sp001;CONTRACT;ACTIVE;y.havryliuk1@ukma.edu.ua;+380501236395;2003-03-09;23
st20220012;Nadiia;Honcharenko;Artemivna;Female;4;2022-09-01;2;f001;sp001;CONTRACT;ACTIVE;n.honcharenko1@ukma.edu.ua;+380501236375;2004-05-28;21
st20220013;Khrystyna;Hrytsenko;Denysivna;Female;4;2022-09-01;2;f001;sp001;BUDGET;ACTIVE;k.hrytsenko2@ukma.edu.ua;+380501236383;2004-02-17;22
st20220014;Liubov;Ivanenko;Rostyslavivna;Female;4;2022-09-01;2;f001;sp001;BUDGET;ACTIVE;l.ivanenko1@ukma.edu.ua;+380501236392;2004-08-02;21
st20250023;Denys;Kolisnyk;Maksymovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;d.kolisnyk@ukma.edu.ua;+380503809966;2006-09-05;19
st20250024;Sofiia;Korzh;Olehivna;Female;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;s.korzh@ukma.edu.ua;+380503809967;2007-01-30;19
st20250025;Andrii;Korotkov;Kostiantynovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;a.korotkov@ukma.edu.ua;+380503809968;2006-11-12;19
st20250026;Stanislav;Koshynskyi;Mykhailovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;s.koshynskyi@ukma.edu.ua;+380503809969;2007-08-04;18
st20250027;Bohdan;Kravchuk;Tarasovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;b.kravchuk@ukma.edu.ua;+380503809970;2006-04-19;20
st20250028;Andrii;Kurliak;Yuriiovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;a.kurliak@ukma.edu.ua;+380503809971;2007-10-09;18
st20250029;Kateryna;Lavruk;Serhiivna;Female;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;k.lavruk@ukma.edu.ua;+380503809972;2006-06-25;19
st20250030;Ivan;Lastivka;Ivanovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;i.lastivka@ukma.edu.ua;+380503809973;2007-02-05;19
st20250031;Sofiia;Leshchenko;Anatoliivna;Female;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;s.leshchenko@ukma.edu.ua;+380503809974;2006-01-11;20
st20250032;Kira;Liatambur;Dmytrivna;Female;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;k.liatambur@ukma.edu.ua;+380503809975;2007-05-29;18
st20250033;Oleksandr;Maletskyi;Viktorovych;Male;1;2025-09-01;3;f001;sp001;BUDGET;ACTIVE;o.maletskyi@ukma.edu.ua;+380503809976;2006-12-02;19
st20240015;Zlata;Kravchenko;Maksymivna;Female;2;2024-09-01;3;f001;sp001;BUDGET;ACTIVE;z.kravchenko@ukma.edu.ua;+380501234507;2005-01-12;21
st20240016;Veronika;Kravchenko;Arturivna;Female;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;v.kravchenko@ukma.edu.ua;+380501234527;2005-02-17;21
st20240017;Zlata;Kravchenko;Illivna;Female;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;z.kravchenko1@ukma.edu.ua;+380501234529;2006-01-28;20
st20240018;Ivan;Kravchenko;Maksymovych;Male;2;2024-09-01;3;f001;sp001;BUDGET;ACTIVE;i.kravchenko@ukma.edu.ua;+380501234531;2005-05-11;20
st20240019;Veronika;Lysenko;Illivna;Female;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;v.lysenko@ukma.edu.ua;+380501234520;2006-04-13;20
st20240020;Tymur;Marchenko;Andriiovych;Male;2;2024-09-01;3;f001;sp001;BUDGET;ACTIVE;t.marchenko@ukma.edu.ua;+380501234502;2005-08-27;20
st20240021;Yuliia;Marchenko;Mykhailivna;Female;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;y.marchenko@ukma.edu.ua;+380501234516;2006-11-12;19
st20230017;Vira;Marchenko;Artemivna;Female;3;2023-09-01;3;f001;sp001;CONTRACT;ACTIVE;v.marchenko5@ukma.edu.ua;+380501235466;2005-11-16;20
st20230018;Alisa;Marchenko;Rostyslavivna;Female;3;2023-09-01;3;f001;sp001;CONTRACT;ACTIVE;a.marchenko7@ukma.edu.ua;+380501235470;2004-12-20;21
st20230019;Svitlana;Marchenko;Mykhailivna;Female;3;2023-09-01;3;f001;sp001;CONTRACT;ACTIVE;s.marchenko2@ukma.edu.ua;+380501235480;2004-10-09;21
st20230020;Vira;Melnyk;Tarasivna;Female;3;2023-09-01;3;f001;sp001;BUDGET;ACTIVE;v.melnyk4@ukma.edu.ua;+380501235474;2005-09-18;20
st20230021;Mykhailo;Melnyk;Oleksandrovych;Male;3;2023-09-01;3;f001;sp001;CONTRACT;ACTIVE;m.melnyk@ukma.edu.ua;+380501235483;2005-01-11;21
st20230022;Svitlana;Moroz;Romanivna;Female;3;2023-09-01;3;f001;sp001;BUDGET;ACTIVE;s.moroz5@ukma.edu.ua;+380501235496;2005-10-08;20
st20230023;Sofiia;Moroz;Stepanivna;Female;3;2023-09-01;3;f001;sp001;BUDGET;ACTIVE;s.moroz6@ukma.edu.ua;+380501235497;2004-06-10;21
st20230024;Pavlo;Oliinyk;Serhiiovych;Male;3;2023-09-01;3;f001;sp001;CONTRACT;ACTIVE;p.oliinyk1@ukma.edu.ua;+380501235465;2005-04-28;20
st20220015;Yelyzaveta;Karpenko;Mykhailivna;Female;4;2022-09-01;3;f001;sp001;CONTRACT;ACTIVE;y.karpenko6@ukma.edu.ua;+380501236387;2004-03-04;22
st20220016;Ivan;Koval;Maksymovych;Male;4;2022-09-01;3;f001;sp001;CONTRACT;ACTIVE;i.koval2@ukma.edu.ua;+380501236386;2004-05-08;21
st20220017;Roman;Kravchenko;Volodymyrovych;Male;4;2022-09-01;3;f001;sp001;BUDGET;ACTIVE;r.kravchenko2@ukma.edu.ua;+380501236388;2003-08-13;22
st20220018;Halyna;Kravchenko;Valentynivna;Female;4;2022-09-01;3;f001;sp001;CONTRACT;ACTIVE;h.kravchenko1@ukma.edu.ua;+380501236396;2004-05-16;21
st20220019;Sofiia;Lysenko;Andriivna;Female;4;2022-09-01;3;f001;sp001;BUDGET;ACTIVE;s.lysenko1@ukma.edu.ua;+380501236374;2003-11-28;22
st20220020;Vladyslav;Lysenko;Volodymyrovych;Male;4;2022-09-01;3;f001;sp001;BUDGET;ACTIVE;v.lysenko11@ukma.edu.ua;+380501236403;2003-08-22;22
st20220021;Kyrylo;Marchenko;Tymurovych;Male;4;2022-09-01;3;f001;sp001;CONTRACT;ACTIVE;k.marchenko2@ukma.edu.ua;+380501236399;2003-02-11;23
st20250034;Anna;Martazina;Serhiivna;Female;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;a.martazina@ukma.edu.ua;+380503809977;2007-09-17;18
st20250035;Rostyslav;Masiian;Ivanovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;r.masiian@ukma.edu.ua;+380503809978;2006-08-22;19
st20250036;Anna;Matiashchuk;Serhiivna;Female;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;a.matiashchuk@ukma.edu.ua;+380503809979;2007-03-08;19
st20250037;Viacheslav;Mokliak;Serhiiovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;v.mokliak@ukma.edu.ua;+380503809980;2006-10-31;19
st20250038;Mykhailo;Nekhai;Ihorovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;m.nekhai@ukma.edu.ua;+380503809981;2007-07-14;18
st20250039;Artur;Nikolaichuk;Kyrylovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;a.nikolaichuk@ukma.edu.ua;+380503809982;2006-05-03;19
st20250040;Oleksandr;Obrazhei;Valeriiovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;o.obrazhei@ukma.edu.ua;+380503809983;2007-11-26;18
st20250041;Hlib;Piatachenko;Oleksandrovych;Male;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;h.piatachenko@ukma.edu.ua;+380503809984;2006-02-18;20
st20250042;Viktoriia;Polishchuk;Yuriivna;Female;1;2025-09-01;4;f001;sp001;BUDGET;ACTIVE;v.polishchuk@ukma.edu.ua;+380503809985;2007-04-10;19
st20250043;Krystyna;Popkova;Viacheslavivna;Female;1;2025-09-01;4;f001;sp001;CONTRACT;ACTIVE;k.popkova@ukma.edu.ua;+380503809986;2006-12-08;19
st20240022;Oksana;Marchenko;Romanivna;Female;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;o.marchenko@ukma.edu.ua;+380501234533;2005-03-28;21
st20240023;Hlib;Moroz;Andriiovych;Male;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;h.moroz@ukma.edu.ua;+380501234514;2005-04-28;20
st20240024;Daria;Oliinyk;Bohdanivna;Female;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;d.oliinyk@ukma.edu.ua;+380501234508;2006-04-09;20
st20240025;Anastasiia;Petrenko;Stepanivna;Female;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;a.petrenko@ukma.edu.ua;+380501234518;2005-06-01;20
st20240026;Yevhen;Petrenko;Mykhailovych;Male;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;y.petrenko@ukma.edu.ua;+380501234521;2005-09-06;20
st20240027;Anna;Polishchuk;Antonivna;Female;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;a.polishchuk@ukma.edu.ua;+380501234506;2006-10-27;19
st20240028;Tetiana;Radchenko;Volodymyrivna;Female;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;t.radchenko@ukma.edu.ua;+380501234517;2005-08-04;20
st20230025;Maksym;Oliinyk;Vitaliiovych;Male;3;2023-09-01;4;f001;sp001;BUDGET;ACTIVE;m.oliinyk2@ukma.edu.ua;+380501235479;2004-02-22;22
st20230026;Pavlo;Oliinyk;Arturovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;p.oliinyk2@ukma.edu.ua;+380501235486;2004-11-05;21
st20230027;Oleh;Panchenko;Valentynovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;o.panchenko2@ukma.edu.ua;+380501235459;2005-02-13;21
st20230028;Viktor;Panchenko;Antonovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;v.panchenko2@ukma.edu.ua;+380501235491;2005-07-25;20
st20230029;Andrii;Petrenko;Rostyslavovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;a.petrenko4@ukma.edu.ua;+380501235472;2005-11-05;20
st20230030;Nazar;Polishchuk;Volodymyrovych;Male;3;2023-09-01;4;f001;sp001;BUDGET;ACTIVE;n.polishchuk1@ukma.edu.ua;+380501235467;2005-03-17;21
st20230031;Tymur;Polishchuk;Andriiovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;t.polishchuk2@ukma.edu.ua;+380501235471;2004-06-09;21
st20230032;Anton;Polishchuk;Vitaliiovych;Male;3;2023-09-01;4;f001;sp001;CONTRACT;ACTIVE;a.polishchuk4@ukma.edu.ua;+380501235493;2005-02-25;21
st20220022;Nadiia;Marchenko;Tarasivna;Female;4;2022-09-01;4;f001;sp001;CONTRACT;ACTIVE;n.marchenko2@ukma.edu.ua;+380501236406;2003-10-08;22
st20220023;Olena;Oliinyk;Stepanivna;Female;4;2022-09-01;4;f001;sp001;CONTRACT;ACTIVE;o.oliinyk3@ukma.edu.ua;+380501236379;2004-08-03;21
st20220024;Andrii;Oliinyk;Volodymyrovych;Male;4;2022-09-01;4;f001;sp001;BUDGET;ACTIVE;a.oliinyk3@ukma.edu.ua;+380501236409;2004-12-18;21
st20220025;Alina;Oliinyk;Maksymivna;Female;4;2022-09-01;4;f001;sp001;CONTRACT;ACTIVE;a.oliinyk4@ukma.edu.ua;+380501236412;2004-04-27;21
st20220026;Vitalii;Panchenko;Oleksandrovych;Male;4;2022-09-01;4;f001;sp001;CONTRACT;ACTIVE;v.panchenko6@ukma.edu.ua;+380501236380;2004-03-10;22
st20220027;Illia;Petrenko;Ivanovych;Male;4;2022-09-01;4;f001;sp001;BUDGET;ACTIVE;i.petrenko4@ukma.edu.ua;+380501236390;2003-01-18;23
st20220028;Anastasiia;Petrenko;Maksymivna;Female;4;2022-09-01;4;f001;sp001;BUDGET;ACTIVE;a.petrenko11@ukma.edu.ua;+380501236401;2004-08-16;21
st20250044;Dmytro;Poplavskyi;Viktorovych;Male;1;2025-09-01;5;f001;sp001;CONTRACT;ACTIVE;d.poplavskyi@ukma.edu.ua;+380503809987;2007-08-16;18
st20250045;Veronika;Prosvirkin;Oleksandrivna;Female;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;v.prosvirkin@ukma.edu.ua;+380503809988;2006-06-02;19
st20250046;Mykhailo;Pulov;Volodymyrovych;Male;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;m.pulov@ukma.edu.ua;+380503809989;2008-03-05;18
st20250047;Dariia;Radko;Oleksandrivna;Female;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;d.radko@ukma.edu.ua;+380503809990;2006-09-14;19
st20250048;Vladyslav;Rezanov;Yevhenovych;Male;1;2025-09-01;5;f001;sp001;CONTRACT;ACTIVE;v.rezanov@ukma.edu.ua;+380503809991;2007-10-28;18
st20250049;Nikita;Riznyk;Yuriiovych;Male;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;n.riznyk@ukma.edu.ua;+380503809992;2006-03-05;20
st20250050;Sofiia;Samoilych;Oleksandrivna;Female;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;s.samoilych@ukma.edu.ua;+380503809993;2007-05-11;18
st20250051;Maksym;Sviatun;Oleksandrovych;Male;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;m.sviatun@ukma.edu.ua;+380503809994;2006-11-20;19
st20250052;Tetiana;Soltys;Mykolaivna;Female;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;t.soltys@ukma.edu.ua;+380503809995;2007-07-03;18
st20250053;Daria;Trukhan;Romanivna;Female;1;2025-09-01;5;f001;sp001;BUDGET;ACTIVE;d.trukhan@ukma.edu.ua;+380503809996;2006-01-29;20
st20240029;Vira;Rudenko;Olehivna;Female;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;v.rudenko@ukma.edu.ua;+380501234515;2006-05-02;19
st20240030;Halyna;Rudenko;Stepanivna;Female;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;h.rudenko@ukma.edu.ua;+380501234525;2005-10-25;20
st20240031;Uliana;Rudenko;Kyrylivna;Female;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;u.rudenko@ukma.edu.ua;+380501234539;2005-08-06;20
st20240032;Alina;Savchenko;Stepanivna;Female;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;a.savchenko@ukma.edu.ua;+380501234510;2006-01-16;20
st20240033;Kateryna;Shevchuk;Dmytrivna;Female;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;k.shevchuk@ukma.edu.ua;+380501234522;2005-04-23;20
st20240034;Viktor;Tkachenko;Illich;Male;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;v.tkachenko@ukma.edu.ua;+380501234519;2005-04-23;20
st20240035;Veronika;Tkachenko;Yevhenivna;Female;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;v.tkachenko1@ukma.edu.ua;+380501234528;2005-06-16;20
st20230033;Mykola;Ponomarenko;Vitaliiovych;Male;3;2023-09-01;5;f001;sp001;CONTRACT;ACTIVE;m.ponomarenko@ukma.edu.ua;+380501235462;2005-08-16;20
st20230034;Yurii;Radchenko;Volodymyrovych;Male;3;2023-09-01;5;f001;sp001;BUDGET;ACTIVE;y.radchenko2@ukma.edu.ua;+380501235463;2005-06-25;20
st20230035;Mariia;Radchenko;Arturivna;Female;3;2023-09-01;5;f001;sp001;BUDGET;ACTIVE;m.radchenko2@ukma.edu.ua;+380501235488;2004-05-14;21
