id;name;surname;patronymic;course;enrollmentDate;group;faculty;speciality;studyForm;status;email;phone;dateOfBirth;age
st20240018;Hlib;Panchenko;Valentynovych;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;h.panchenko@ukma.edu.ua;+380501234513;2006-06-23;19
st20240019;Bohdan;Panchenko;Tarasovych;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;b.panchenko@ukma.edu.ua;+380501234532;2005-09-11;20
st20240020;Vira;Petrenko;Tarasivna;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;v.petrenko@ukma.edu.ua;+380501234502;2005-07-20;20
st20240021;Anton;Ponomarenko;Kyrylovych;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;a.ponomarenko@ukma.edu.ua;+380501234529;2005-11-27;20
st20240022;Olena;Ponomarenko;Yevhenivna;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;o.ponomarenko@ukma.edu.ua;+380501234531;2006-07-14;19
st20240023;Anton;Radchenko;Vitaliiovych;2;2024-09-01;4;f001;sp001;BUDGET;ACTIVE;a.radchenko@ukma.edu.ua;+380501234518;2006-02-20;20
st20240024;Yuliia;Radchenko;Dmytrivna;2;2024-09-01;4;f001;sp001;CONTRACT;ACTIVE;y.radchenko@ukma.edu.ua;+380501234520;2006-08-03;19
st20240025;Solomiia;Radchenko;Yevhenivna;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;s.radchenko@ukma.edu.ua;+380501234528;2006-03-04;20
st20240026;Uliana;Savchenko;Andriivna;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;u.savchenko@ukma.edu.ua;+380501234511;2005-07-07;20
st20240027;Volodymyr;Savchenko;Denysovych;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;v.savchenko@ukma.edu.ua;+380501234526;2005-05-06;20
st20240028;Anastasiia;Savchenko;Mykhailivna;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;a.savchenko@ukma.edu.ua;+380501234536;2006-11-03;19
st20240029;Ihor;Shevchenko;Denysovych;2;2024-09-01;5;f001;sp001;CONTRACT;ACTIVE;i.shevchenko@ukma.edu.ua;+380501234515;2006-04-09;20
st20240030;Nadiia;Shevchenko;Hlibivna;2;2024-09-01;5;f001;sp001;BUDGET;ACTIVE;n.shevchenko@ukma.edu.ua;+380501234516;2006-02-28;20
st20240031;Yevhen;Shevchuk;Serhiiovych;2;2024-09-01;6;f001;sp001;BUDGET;ACTIVE;y.shevchuk@ukma.edu.ua;+380501234534;2005-09-14;20
st20240032;Anastasiia;Tkachenko;Vitaliivna;2;2024-09-01;6;f001;sp001;CONTRACT;ACTIVE;a.tkachenko@ukma.edu.ua;+380501234505;2005-10-17;20
st20240033;Iryna;Tkachenko;Serhiivna;2;2024-09-01;6;f001;sp001;CONTRACT;ACTIVE;i.tkachenko@ukma.edu.ua;+380501234521;2005-03-22;21
st20240034;Yuliia;Tkachenko;Arturivna;2;2024-09-01;6;f001;sp001;CONTRACT;ACTIVE;y.tkachenko@ukma.edu.ua;+380501234525;2005-10-28;20
st20240035;Nazar;Tkachuk;Antonovych;2;2024-09-01;6;f001;sp001;BUDGET;ACTIVE;n.tkachuk@ukma.edu.ua;+380501234524;2006-07-09;19
st20240036;Olena;Vlasenko;Tymurivna;2;2024-09-01;6;f001;sp001;CONTRACT;ACTIVE;o.vlasenko@ukma.edu.ua;+380501234517;2005-06-26;20


st20240037;Khrystyna;Babenko;Stepanivna;2;2024-09-01;1;f001;sp002;BUDGET;ACTIVE;k.babenko@ukma.edu.ua;+380501234556;2005-04-07;21
st20240038;Denys;Babenko;Rostyslavovych;2;2024-09-01;1;f001;sp002;CONTRACT;ACTIVE;d.babenko@ukma.edu.ua;+380501234557;2005-05-26;20
st20240039;Nadiia;Bondarenko;Valentynivna;2;2024-09-01;1;f001;sp002;CONTRACT;ACTIVE;n.bondarenko@ukma.edu.ua;+380501234537;2006-06-21;19
st20240040;Oksana;Dmytrenko;Valentynivna;2;2024-09-01;1;f001;sp002;BUDGET;ACTIVE;o.dmytrenko@ukma.edu.ua;+380501234558;2006-06-23;19
st20240041;Tymur;Havryliuk;Illich;2;2024-09-01;1;f001;sp002;BUDGET;ACTIVE;t.havryliuk@ukma.edu.ua;+380501234539;2005-07-21;20
st20240042;Kateryna;Havryliuk;Romanivna;2;2024-09-01;1;f001;sp002;CONTRACT;ACTIVE;k.havryliuk@ukma.edu.ua;+380501234545;2005-02-19;21
st20240043;Tetiana;Honcharenko;Volodymyrivna;2;2024-09-01;2;f001;sp002;CONTRACT;ACTIVE;t.honcharenko@ukma.edu.ua;+380501234559;2005-05-11;20
st20240044;Mykola;Honcharenko;Arturovych;2;2024-09-01;2;f001;sp002;CONTRACT;ACTIVE;m.honcharenko@ukma.edu.ua;+380501234570;2006-09-08;19
st20240045;Uliana;Ivanenko;Kyrylivna;2;2024-09-01;2;f001;sp002;CONTRACT;ACTIVE;u.ivanenko@ukma.edu.ua;+380501234564;2005-01-23;21
st20240046;Mykola;Karpenko;Olehovych;2;2024-09-01;2;f001;sp002;CONTRACT;ACTIVE;m.karpenko@ukma.edu.ua;+380501234553;2005-12-02;20
st20240047;Illia;Karpenko;Bohdanovych;2;2024-09-01;2;f001;sp002;CONTRACT;ACTIVE;i.karpenko@ukma.edu.ua;+380501234555;2005-10-11;20
st20240048;Oleksandr;Karpenko;Vitaliiovych;2;2024-09-01;2;f001;sp002;BUDGET;ACTIVE;o.karpenko@ukma.edu.ua;+380501234563;2005-03-06;21
st20240049;Sofiia;Koval;Tarasivna;2;2024-09-01;3;f001;sp002;CONTRACT;ACTIVE;s.koval@ukma.edu.ua;+380501234542;2006-11-03;19
st20240050;Nataliia;Kovalenko;Artemivna;2;2024-09-01;3;f001;sp002;BUDGET;ACTIVE;n.kovalenko@ukma.edu.ua;+380501234538;2005-07-01;20
st20240051;Khrystyna;Kovalenko;Mykolaivna;2;2024-09-01;3;f001;sp002;BUDGET;ACTIVE;k.kovalenko@ukma.edu.ua;+380501234549;2006-12-16;19
st20240052;Stepan;Kravchenko;Dmytrovych;2;2024-09-01;3;f001;sp002;CONTRACT;ACTIVE;s.kravchenko@ukma.edu.ua;+380501234541;2005-05-19;20
st20240053;Bozhena;Marchenko;Dmytrivna;2;2024-09-01;3;f001;sp002;CONTRACT;ACTIVE;b.marchenko@ukma.edu.ua;+380501234540;2005-03-01;21
st20240054;Vladyslav;Marchenko;Mykolaiovych;2;2024-09-01;3;f001;sp002;CONTRACT;ACTIVE;v.marchenko1@ukma.edu.ua;+380501234568;2006-08-24;19
st20240055;Vitalii;Melnyk;Illich;2;2024-09-01;4;f001;sp002;BUDGET;ACTIVE;v.melnyk@ukma.edu.ua;+380501234560;2005-10-03;20
st20240056;Valentyn;Melnyk;Olehovych;2;2024-09-01;4;f001;sp002;CONTRACT;ACTIVE;v.melnyk1@ukma.edu.ua;+380501234569;2006-09-12;19
st20240057;Iryna;Oliinyk;Hlibivna;2;2024-09-01;4;f001;sp002;BUDGET;ACTIVE;i.oliinyk@ukma.edu.ua;+380501234561;2006-07-18;19
st20240058;Kyrylo;Panchenko;Romanovych;2;2024-09-01;4;f001;sp002;BUDGET;ACTIVE;k.panchenko@ukma.edu.ua;+380501234543;2006-04-07;20
st20240059;Oksana;Panchenko;Hlibivna;2;2024-09-01;4;f001;sp002;CONTRACT;ACTIVE;o.panchenko@ukma.edu.ua;+380501234565;2006-03-25;20
st20240060;Artem;Ponomarenko;Andriiovych;2;2024-09-01;4;f001;sp002;BUDGET;ACTIVE;a.ponomarenko1@ukma.edu.ua;+380501234547;2006-01-13;20
st20240061;Halyna;Rudenko;Illivna;2;2024-09-01;5;f001;sp002;CONTRACT;ACTIVE;h.rudenko@ukma.edu.ua;+380501234550;2006-06-19;19
st20240062;Volodymyr;Rudenko;Yevhenovych;2;2024-09-01;5;f001;sp002;BUDGET;ACTIVE;v.rudenko@ukma.edu.ua;+380501234562;2005-02-25;21
st20240063;Viktoriia;Shevchuk;Mykolaivna;2;2024-09-01;5;f001;sp002;BUDGET;ACTIVE;v.shevchuk@ukma.edu.ua;+380501234546;2005-01-28;21
st20240064;Olena;Shevchuk;Ivanivna;2;2024-09-01;5;f001;sp002;BUDGET;ACTIVE;o.shevchuk@ukma.edu.ua;+380501234548;2005-09-27;20
st20240065;Olena;Sydorenko;Hlibivna;2;2024-09-01;5;f001;sp002;CONTRACT;ACTIVE;o.sydorenko@ukma.edu.ua;+380501234552;2005-02-27;21
st20240066;Yelyzaveta;Sydorenko;Olehivna;2;2024-09-01;5;f001;sp002;CONTRACT;ACTIVE;y.sydorenko@ukma.edu.ua;+380501234567;2005-05-20;20
st20240067;Nataliia;Taran;Dmytrivna;2;2024-09-01;6;f001;sp002;CONTRACT;ACTIVE;n.taran@ukma.edu.ua;+380501234566;2005-05-05;20
st20240068;Maksym;Tkachenko;Valentynovych;2;2024-09-01;6;f001;sp002;BUDGET;ACTIVE;m.tkachenko@ukma.edu.ua;+380501234544;2005-04-16;21
st20240069;Veronika;Tkachenko;Maksymivna;2;2024-09-01;6;f001;sp002;CONTRACT;ACTIVE;v.tkachenko@ukma.edu.ua;+380501234551;2005-02-26;21
st20240070;Alina;Vlasenko;Mykolaivna;2;2024-09-01;6;f001;sp002;CONTRACT;ACTIVE;a.vlasenko@ukma.edu.ua;+380501234554;2006-09-24;19


st20240071;Vasyl;Babenko;Tymurovych;2;2024-09-01;1;f001;sp003;CONTRACT;ACTIVE;v.babenko@ukma.edu.ua;+380501234583;2005-10-12;20
st20240072;Artem;Dmytrenko;Maksymovych;2;2024-09-01;1;f001;sp003;CONTRACT;ACTIVE;a.dmytrenko@ukma.edu.ua;+380501234587;2006-04-01;20
st20240073;Artur;Dmytrenko;Tarasovych;2;2024-09-01;1;f001;sp003;BUDGET;ACTIVE;a.dmytrenko1@ukma.edu.ua;+380501234597;2005-08-01;20
st20240074;Diana;Dmytrenko;Maksymivna;2;2024-09-01;1;f001;sp003;CONTRACT;ACTIVE;d.dmytrenko@ukma.edu.ua;+380501234600;2006-12-24;19
st20240075;Anna;Honcharenko;Antonivna;2;2024-09-01;1;f001;sp003;BUDGET;ACTIVE;a.honcharenko@ukma.edu.ua;+380501234592;2006-02-17;20
st20240076;Anna;Ivanenko;Maksymivna;2;2024-09-01;1;f001;sp003;CONTRACT;ACTIVE;a.ivanenko@ukma.edu.ua;+380501234589;2006-04-23;20
st20240077;Yana;Karpenko;Illivna;2;2024-09-01;2;f001;sp003;CONTRACT;ACTIVE;y.karpenko@ukma.edu.ua;+380501234595;2005-12-10;20
st20240078;Hlib;Khomenko;Dmytrovych;2;2024-09-01;2;f001;sp003;CONTRACT;ACTIVE;h.khomenko@ukma.edu.ua;+380501234578;2005-07-09;20
st20240079;Uliana;Kovalenko;Ivanivna;2;2024-09-01;2;f001;sp003;BUDGET;ACTIVE;u.kovalenko@ukma.edu.ua;+380501234573;2005-01-13;21
st20240080;Olena;Kovalenko;Maksymivna;2;2024-09-01;2;f001;sp003;CONTRACT;ACTIVE;o.kovalenko@ukma.edu.ua;+380501234598;2005-08-11;20
st20240081;Anhelina;Kravchenko;Mykolaivna;2;2024-09-01;2;f001;sp003;BUDGET;ACTIVE;a.kravchenko@ukma.edu.ua;+380501234591;2005-10-13;20
st20240082;Veronika;Lysenko;Vitaliivna;2;2024-09-01;2;f001;sp003;CONTRACT;ACTIVE;v.lysenko1@ukma.edu.ua;+380501234579;2006-02-24;20
st20240083;Artur;Lysenko;Tarasovych;2;2024-09-01;3;f001;sp003;CONTRACT;ACTIVE;a.lysenko@ukma.edu.ua;+380501234588;2005-04-17;21
st20240084;Vasyl;Lysenko;Hlibovych;2;2024-09-01;3;f001;sp003;BUDGET;ACTIVE;v.lysenko2@ukma.edu.ua;+380501234596;2005-05-19;20
st20240085;Rostyslav;Marchenko;Antonovych;2;2024-09-01;3;f001;sp003;CONTRACT;ACTIVE;r.marchenko@ukma.edu.ua;+380501234576;2005-10-17;20
st20240086;Artem;Melnyk;Tarasovych;2;2024-09-01;3;f001;sp003;CONTRACT;ACTIVE;a.melnyk@ukma.edu.ua;+380501234582;2005-04-01;21
st20240087;Maksym;Moroz;Romanovych;2;2024-09-01;3;f001;sp003;BUDGET;ACTIVE;m.moroz@ukma.edu.ua;+380501234601;2005-05-08;20
st20240088;Oleh;Oliinyk;Ivanovych;2;2024-09-01;3;f001;sp003;BUDGET;ACTIVE;o.oliinyk@ukma.edu.ua;+380501234585;2006-10-27;19
st20240089;Valentyn;Ponomarenko;Romanovych;2;2024-09-01;4;f001;sp003;CONTRACT;ACTIVE;v.ponomarenko@ukma.edu.ua;+380501234574;2005-04-05;21
st20240090;Oleksandr;Radchenko;Romanovych;2;2024-09-01;4;f001;sp003;CONTRACT;ACTIVE;o.radchenko@ukma.edu.ua;+380501234572;2006-05-08;19
st20240091;Sofiia;Rudenko;Mykolaivna;2;2024-09-01;4;f001;sp003;BUDGET;ACTIVE;s.rudenko@ukma.edu.ua;+380501234581;2006-10-02;19
st20240092;Maksym;Rudenko;Romanovych;2;2024-09-01;4;f001;sp003;CONTRACT;ACTIVE;m.rudenko@ukma.edu.ua;+380501234584;2006-02-20;20
st20240093;Andrii;Savchenko;Rostyslavovych;2;2024-09-01;4;f001;sp003;CONTRACT;ACTIVE;a.savchenko1@ukma.edu.ua;+380501234586;2005-08-07;20
st20240094;Daria;Savchenko;Serhiivna;2;2024-09-01;4;f001;sp003;BUDGET;ACTIVE;d.savchenko@ukma.edu.ua;+380501234594;2005-06-27;20
st20240095;Vasyl;Shevchenko;Denysovych;2;2024-09-01;5;f001;sp003;BUDGET;ACTIVE;v.shevchenko@ukma.edu.ua;+380501234599;2006-04-08;20
st20240096;Mykola;Shevchuk;Tymurovych;2;2024-09-01;5;f001;sp003;BUDGET;ACTIVE;m.shevchuk@ukma.edu.ua;+380501234577;2005-11-22;20
st20240097;Andrii;Shevchuk;Romanovych;2;2024-09-01;5;f001;sp003;BUDGET;ACTIVE;a.shevchuk@ukma.edu.ua;+380501234593;2005-03-06;21
st20240098;Anastasiia;Taran;Oleksandrivna;2;2024-09-01;5;f001;sp003;CONTRACT;ACTIVE;a.taran@ukma.edu.ua;+380501234571;2006-01-13;20
st20240099;Daria;Taran;Stepanivna;2;2024-09-01;5;f001;sp003;CONTRACT;ACTIVE;d.taran@ukma.edu.ua;+380501234590;2006-02-17;20
st20240100;Kseniia;Tkachuk;Hlibivna;2;2024-09-01;5;f001;sp003;BUDGET;ACTIVE;k.tkachuk@ukma.edu.ua;+380501234580;2006-12-21;19
st20240101;Maksym;Vlasenko;Mykhailovych;2;2024-09-01;6;f001;sp003;CONTRACT;ACTIVE;m.vlasenko@ukma.edu.ua;+380501234575;2006-02-05;20


st20240102;Stepan;Dmytrenko;Mykhailovych;2;2024-09-01;1;f001;sp004;CONTRACT;ACTIVE;s.dmytrenko@ukma.edu.ua;+380501234617;2006-09-21;19
st20240103;Bohdan;Havryliuk;Yuriiovych;2;2024-09-01;1;f001;sp004;BUDGET;ACTIVE;b.havryliuk@ukma.edu.ua;+380501234615;2005-11-22;20
st20240104;Halyna;Honcharenko;Volodymyrivna;2;2024-09-01;1;f001;sp004;CONTRACT;ACTIVE;h.honcharenko@ukma.edu.ua;+380501234608;2005-11-16;20
st20240105;Oleksandr;Honcharenko;Andriiovych;2;2024-09-01;1;f001;sp004;CONTRACT;ACTIVE;o.honcharenko@ukma.edu.ua;+380501234614;2006-07-09;19
st20240106;Anastasiia;Honcharenko;Illivna;2;2024-09-01;1;f001;sp004;CONTRACT;ACTIVE;a.honcharenko1@ukma.edu.ua;+380501234625;2006-03-10;20
st20240107;Uliana;Honcharenko;Tymurivna;2;2024-09-01;1;f001;sp004;BUDGET;ACTIVE;u.honcharenko@ukma.edu.ua;+380501234635;2006-02-10;20
st20240108;Taras;Ivanenko;Rostyslavovych;2;2024-09-01;2;f001;sp004;CONTRACT;ACTIVE;t.ivanenko@ukma.edu.ua;+380501234610;2006-05-14;19
st20240109;Yurii;Ivanenko;Denysovych;2;2024-09-01;2;f001;sp004;BUDGET;ACTIVE;y.ivanenko@ukma.edu.ua;+380501234622;2006-12-04;19
st20240110;Viktoriia;Ivanenko;Artemivna;2;2024-09-01;2;f001;sp004;BUDGET;ACTIVE;v.ivanenko@ukma.edu.ua;+380501234629;2005-07-06;20
st20240111;Serhii;Karpenko;Andriiovych;2;2024-09-01;2;f001;sp004;BUDGET;ACTIVE;s.karpenko@ukma.edu.ua;+380501234624;2005-03-26;21
st20240112;Valentyn;Koval;Antonovych;2;2024-09-01;2;f001;sp004;CONTRACT;ACTIVE;v.koval@ukma.edu.ua;+380501234618;2005-09-03;20
st20240113;Denys;Kovalenko;Denysovych;2;2024-09-01;2;f001;sp004;BUDGET;ACTIVE;d.kovalenko@ukma.edu.ua;+380501234609;2006-01-18;20
st20240114;Roman;Kovalenko;Volodymyrovych;2;2024-09-01;3;f001;sp004;BUDGET;ACTIVE;r.kovalenko@ukma.edu.ua;+380501234633;2006-03-17;20
st20240115;Viktor;Kravchenko;Yevhenovych;2;2024-09-01;3;f001;sp004;CONTRACT;ACTIVE;v.kravchenko1@ukma.edu.ua;+380501234605;2005-11-23;20
st20240116;Bozhena;Kravchenko;Antonivna;2;2024-09-01;3;f001;sp004;CONTRACT;ACTIVE;b.kravchenko@ukma.edu.ua;+380501234611;2005-02-01;21
st20240117;Anton;Lysenko;Rostyslavovych;2;2024-09-01;3;f001;sp004;CONTRACT;ACTIVE;a.lysenko1@ukma.edu.ua;+380501234619;2006-02-19;20
st20240118;Kseniia;Lysenko;Ivanivna;2;2024-09-01;3;f001;sp004;CONTRACT;ACTIVE;k.lysenko@ukma.edu.ua;+380501234632;2006-01-12;20
st20240119;Tymur;Melnyk;Andriiovych;2;2024-09-01;3;f001;sp004;CONTRACT;ACTIVE;t.melnyk@ukma.edu.ua;+380501234612;2005-12-04;20
st20240120;Stepan;Moroz;Ivanovych;2;2024-09-01;4;f001;sp004;BUDGET;ACTIVE;s.moroz@ukma.edu.ua;+380501234604;2006-12-01;19
st20240121;Anastasiia;Moroz;Mykolaivna;2;2024-09-01;4;f001;sp004;CONTRACT;ACTIVE;a.moroz1@ukma.edu.ua;+380501234627;2006-09-12;19
st20240122;Kateryna;Oliinyk;Stepanivna;2;2024-09-01;4;f001;sp004;CONTRACT;ACTIVE;k.oliinyk@ukma.edu.ua;+380501234606;2005-03-04;21
st20240123;Oleksandr;Oliinyk;Yevhenovych;2;2024-09-01;4;f001;sp004;CONTRACT;ACTIVE;o.oliinyk1@ukma.edu.ua;+380501234620;2005-02-09;21
st20240124;Ihor;Oliinyk;Maksymovych;2;2024-09-01;4;f001;sp004;BUDGET;ACTIVE;i.oliinyk1@ukma.edu.ua;+380501234623;2005-11-13;20
st20240125;Hlib;Oliinyk;Yuriiovych;2;2024-09-01;4;f001;sp004;CONTRACT;ACTIVE;h.oliinyk@ukma.edu.ua;+380501234630;2006-05-06;19
st20240126;Bozhena;Panchenko;Vladyslavivna;2;2024-09-01;5;f001;sp004;CONTRACT;ACTIVE;b.panchenko1@ukma.edu.ua;+380501234631;2006-09-23;19
st20240127;Halyna;Polishchuk;Denysivna;2;2024-09-01;5;f001;sp004;CONTRACT;ACTIVE;h.polishchuk@ukma.edu.ua;+380501234602;2005-11-24;20
st20240128;Yuliia;Radchenko;Denysivna;2;2024-09-01;5;f001;sp004;CONTRACT;ACTIVE;y.radchenko1@ukma.edu.ua;+380501234613;2006-11-04;19
st20240129;Yurii;Radchenko;Maksymovych;2;2024-09-01;5;f001;sp004;BUDGET;ACTIVE;y.radchenko2@ukma.edu.ua;+380501234628;2006-07-24;19
st20240130;Sofiia;Shevchuk;Yuriivna;2;2024-09-01;5;f001;sp004;BUDGET;ACTIVE;s.shevchuk@ukma.edu.ua;+380501234621;2005-02-04;21
st20240131;Denys;Sydorenko;Bohdanovych;2;2024-09-01;5;f001;sp004;BUDGET;ACTIVE;d.sydorenko@ukma.edu.ua;+380501234603;2005-12-09;20
st20240132;Halyna;Sydorenko;Kyrylivna;2;2024-09-01;6;f001;sp004;CONTRACT;ACTIVE;h.sydorenko@ukma.edu.ua;+380501234607;2006-10-24;19
st20240133;Tetiana;Tkachuk;Valentynivna;2;2024-09-01;6;f001;sp004;BUDGET;ACTIVE;t.tkachuk@ukma.edu.ua;+380501234616;2006-08-26;19
st20240134;Viktoriia;Vlasenko;Olehivna;2;2024-09-01;6;f001;sp004;CONTRACT;ACTIVE;v.vlasenko@ukma.edu.ua;+380501234626;2005-12-21;20
st20240135;Artur;Vlasenko;Yuriiovych;2;2024-09-01;6;f001;sp004;BUDGET;ACTIVE;a.vlasenko1@ukma.edu.ua;+380501234634;2005-02-18;21


st20240136;Anton;Babenko;Maksymovych;2;2024-09-01;1;f001;sp005;CONTRACT;ACTIVE;a.babenko@ukma.edu.ua;+380501234643;2006-03-09;20
st20240137;Ihor;Babenko;Arturovych;2;2024-09-01;1;f001;sp005;BUDGET;ACTIVE;i.babenko@ukma.edu.ua;+380501234644;2006-08-04;19
st20240138;Veronika;Babenko;Yuriivna;2;2024-09-01;1;f001;sp005;BUDGET;ACTIVE;v.babenko1@ukma.edu.ua;+380501234676;2005-06-10;20
st20240139;Sofiia;Dmytrenko;Vladyslavivna;2;2024-09-01;1;f001;sp005;BUDGET;ACTIVE;s.dmytrenko1@ukma.edu.ua;+380501234655;2005-04-24;21
st20240140;Mykola;Havryliuk;Yuriiovych;2;2024-09-01;1;f001;sp005;CONTRACT;ACTIVE;m.havryliuk1@ukma.edu.ua;+380501234645;2006-01-10;20
st20240141;Yurii;Honcharenko;Denysovych;2;2024-09-01;1;f001;sp005;CONTRACT;ACTIVE;y.honcharenko@ukma.edu.ua;+380501234647;2006-08-05;19
st20240142;Kateryna;Honcharenko;Arturivna;2;2024-09-01;1;f001;sp005;CONTRACT;ACTIVE;k.honcharenko@ukma.edu.ua;+380501234671;2006-10-28;19
st20240143;Sofiia;Hrytsenko;Illivna;2;2024-09-01;1;f001;sp005;CONTRACT;ACTIVE;s.hrytsenko@ukma.edu.ua;+380501234656;2006-11-18;19
st20240144;Solomiia;Hrytsenko;Vladyslavivna;2;2024-09-01;2;f001;sp005;BUDGET;ACTIVE;s.hrytsenko1@ukma.edu.ua;+380501234663;2006-02-06;20
st20240145;Iryna;Ivanenko;Rostyslavivna;2;2024-09-01;2;f001;sp005;BUDGET;ACTIVE;i.ivanenko@ukma.edu.ua;+380501234636;2006-09-14;19
st20240146;Maksym;Ivanenko;Yevhenovych;2;2024-09-01;2;f001;sp005;BUDGET;ACTIVE;m.ivanenko@ukma.edu.ua;+380501234646;2005-03-16;21
st20240147;Khrystyna;Karpenko;Vladyslavivna;2;2024-09-01;2;f001;sp005;BUDGET;ACTIVE;k.karpenko@ukma.edu.ua;+380501234665;2006-07-04;19
st20240148;Illia;Karpenko;Oleksandrovych;2;2024-09-01;2;f001;sp005;BUDGET;ACTIVE;i.karpenko1@ukma.edu.ua;+380501234674;2005-09-03;20
st20240149;Nazar;Karpenko;Mykhailovych;2;2024-09-01;2;f001;sp005;CONTRACT;ACTIVE;n.karpenko@ukma.edu.ua;+380501234675;2005-11-02;20
st20240150;Anhelina;Khomenko;Oleksandrivna;2;2024-09-01;2;f001;sp005;CONTRACT;ACTIVE;a.khomenko@ukma.edu.ua;+380501234650;2005-01-04;21
st20240151;Yana;Khomenko;Rostyslavivna;2;2024-09-01;2;f001;sp005;CONTRACT;ACTIVE;y.khomenko@ukma.edu.ua;+380501234660;2005-01-05;21
st20240152;Yurii;Koval;Yuriiovych;2;2024-09-01;3;f001;sp005;CONTRACT;ACTIVE;y.koval@ukma.edu.ua;+380501234653;2006-01-08;20
st20240153;Anhelina;Kovalenko;Kyrylivna;2;2024-09-01;3;f001;sp005;CONTRACT;ACTIVE;a.kovalenko@ukma.edu.ua;+380501234642;2005-01-08;21
st20240154;Yana;Kravchenko;Antonivna;2;2024-09-01;3;f001;sp005;BUDGET;ACTIVE;y.kravchenko@ukma.edu.ua;+380501234654;2005-03-05;21
st20240155;Polina;Lysenko;Ivanivna;2;2024-09-01;3;f001;sp005;CONTRACT;ACTIVE;p.lysenko@ukma.edu.ua;+380501234638;2006-05-06;19
st20240156;Kateryna;Marchenko;Rostyslavivna;2;2024-09-01;3;f001;sp005;BUDGET;ACTIVE;k.marchenko@ukma.edu.ua;+380501234666;2006-02-01;20
st20240157;Oleksandr;Melnyk;Rostyslavovych;2;2024-09-01;3;f001;sp005;BUDGET;ACTIVE;o.melnyk@ukma.edu.ua;+380501234652;2006-06-05;19
